file,line,end_line,loc,kind,name,bucket,status,blockers,signals,risk_score,risk,action,phase,priority,rust_blocks
src/masstree/checkpoint.hh,26,45,20,struct,ckstate,needs-transpiler,unmigrated,"template, raw-pointer","raw-pointer, static-state, template",42,high,probe-current-transpiler,probe,0,0
src/masstree/circular_int.hh,26,175,150,class,circular_int,needs-transpiler,unmigrated,"raw-pointer, threading, template","constructor-overloads, large-body, raw-pointer, static-state, template, threading",80,high,probe-current-transpiler,probe,0,0
src/masstree/circular_int.hh,177,177,1,typedef,kvepoch_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/clp.h,45,45,1,typedef,Clp_Option,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/clp.h,46,46,1,typedef,Clp_Parser,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/clp.h,47,47,1,typedef,Clp_ParserState,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
src/masstree/clp.h,55,65,11,struct,Clp_Option,refactor-then-DSL,unmigrated,raw-pointer,raw-pointer,12,low,reshape-first,reshape,48,0
src/masstree/clp.h,192,224,33,struct,Clp_Parser,boundary-review,unmigrated,"void*, raw-pointer","raw-pointer, void*",47,high,isolate-or-probe-unsafe-boundary,floor-review,0,0
src/masstree/compiler.hh,131,140,10,struct,do_nothing,needs-transpiler,unmigrated,"template, operator-overload","operator-overload, template",35,medium,probe-current-transpiler,probe,0,0
src/masstree/compiler.hh,143,147,5,struct,fence_function,needs-transpiler,unmigrated,operator-overload,operator-overload,15,low,probe-current-transpiler,probe,15,0
src/masstree/compiler.hh,150,154,5,struct,relax_fence_function,needs-transpiler,unmigrated,operator-overload,operator-overload,15,low,probe-current-transpiler,probe,15,0
src/masstree/compiler.hh,157,168,12,struct,backoff_fence_function,needs-transpiler,unmigrated,operator-overload,operator-overload,15,low,probe-current-transpiler,probe,15,0
src/masstree/compiler.hh,174,174,1,typedef,type,needs-transpiler,unmigrated,template,template,20,medium,probe-current-transpiler,probe,10,0
src/masstree/compiler.hh,439,439,1,typedef,sco_t,trivial,unmigrated,none,none,0,low,migrate-now,quick-wins,100,0
